WP	WO	TC	sequence	scope	est-min
OH-LZK/H-21 C04		282400-01-1	1	MECH-ENG	2.083333
OH-LZK/H-21 C04		282541-01-1	1	MECH-EXT	0.833333
OH-LZK/H-21 C04		282800-06-1	1	MECH-EXT	0.833333
OH-LZK/H-21 C04		282800-18-1	1	MECH-EXT	0.833333
OH-LZK/H-21 C04		291000-19-1	1	MECH-LDG	2.300000
OH-LZK/H-21 C04		322127-01-1	1	MECH-LDG	2.000000
OH-LZK/H-21 C04		324000-14-1	1	MECH-LDG	5.000000
OH-LZK/H-21 C04		324500-01-2	1	MECH-LDG	0.833333
OH-LZK/H-21 C04		361100-01-1	1	MECH-ENG	3.400000
OH-LZK/H-21 C04		521000-03-1	1	MECH-INT	2.000000
OH-LZK/H-21 C04		521000-06-1	1	MECH-INT	2.200000
OH-LZK/H-21 C04		521000-05-1	1	MECH-INT	2.500000
OH-LZK/H-21 C04		525111-07-1	1	MECH-INT	0.833333
OH-LZK/H-21 C04		561200-01-1	1	MECH-INT	0.550000
OH-LZK/H-21 C04		572007-01-10	1	MECH-EXT	0.833333
OH-LZK/H-21 C04		712111-06-1	1	MECH-ENG	0.833333
OH-LZK/H-21 C04		712112-02-1	1	MECH-ENG	0.833333
OH-LZK/H-21 C04	5570003		1	MECH-ENG	1.000000
OH-LZK/H-21 C04	5570003		1	SHM	3.000000
OH-LZK/H-21 C04	5570011		1	MECH	2.000000
OH-LZK/H-21 C04	5570014		1	MECH-INT	2.000000
OH-LZK/H-21 C04	5570012		1	MECH-INT	2.666666
OH-LZK/H-21 C04	5570012		2	MECH-INT	0.666666
OH-LZK/H-21 C04	5570012		5	MECH-INT	6.000000
OH-LZK/H-21 C04	5570015		1	MECH-EXT	2.000000
OH-LZK/H-21 C04	5570013		1	MECH-ENG	2.000000
OH-LZK/H-21 C04	5570017		1	MECH-EXT	2.000000
OH-LZK/H-21 C04	5570019		1	MECH-ENG	1.000000
OH-LZK/H-21 C04	5570019		1	SHM	2.000000
OH-LZK/H-21 C04	5570020		1	MECH-ENG	1.000000
OH-LZK/H-21 C04	5570020		1	SHM	12.000000
OH-LZK/H-21 C04	5570082		2	MECH-INT	1.000000
OH-LZK/H-21 C04	5570083		1	MECH	6.000000
OH-LZK/H-21 C04	5570089		1	MECH-ENG	4.000000
OH-LZK/H-21 C04	5570094		1	MECH-ENG	0.300000
OH-LZK/H-21 C04	5570111		1	MECH-LDG	2.000000
OH-LZK/H-21 C04	5570112		1	MECH-LDG	6.000000
OH-LZK/H-21 C04	5570112		2	MECH-LDG	4.000000
OH-LZK/H-21 C04	5570131		1	MECH-LDG	4.000000
OH-LZK/H-21 C04	5570131		2	MECH-LDG	4.000000
OH-LZK/H-21 C04	5570131		3	MECH-LDG	4.000000
OH-LZK/H-21 C04	5570401		1	MECH-EXT	1.000000
OH-LZK/H-21 C04	5570401		1	SHM	12.000000
OH-LZK/H-21 C04	5570406		1	MECH-EXT	1.000000
OH-LZK/H-21 C04	5570407		1	MECH-EXT	1.500000
OH-LZK/H-21 C04	5570399		1	MECH-LDG	15.000000
OH-LZK/H-21 C04	5570399		2	MECH-LDG	6.000000
OH-LZK/H-21 C04	5570413		1	LAK	3.000000
